Date,Mosq
2013-06-19 0:00,0
2013-06-20 0:00,0
2013-06-21 0:00,10
2013-06-22 0:00,283
2013-06-23 0:00,228
2013-06-24 0:00,340
2013-06-25 0:00,484
2013-06-26 0:00,349
2013-06-27 0:00,424
2013-06-28 0:00,784
2013-06-29 0:00,1073
2013-06-30 0:00,0
2013-07-01 0:00,100
2013-07-02 0:00,93
2013-07-03 0:00,63
2013-07-04 0:00,62
2013-07-05 0:00,45
2013-07-06 0:00,39
2013-07-07 0:00,64
2013-07-08 0:00,63
2013-07-09 0:00,148
2013-07-10 0:00,56
2013-07-12 0:00,44
2013-07-13 0:00,72
2013-07-14 0:00,1124
2013-07-15 0:00,130
2013-07-16 0:00,75
2013-07-17 0:00,82
2013-07-18 0:00,49
2013-07-19 0:00,120
2013-07-20 0:00,233
2013-07-21 0:00,264
2013-07-22 0:00,302
2013-07-23 0:00,491
2013-07-24 0:00,885
2013-07-25 0:00,502
2013-07-26 0:00,368
2013-07-27 0:00,160
2013-07-28 0:00,229
2013-07-29 0:00,175
2013-07-30 0:00,183
2013-07-31 0:00,125
2013-08-01 0:00,149
2013-08-02 0:00,198
2013-08-03 0:00,135
2013-08-04 0:00,321
2013-08-05 0:00,2081
2013-08-06 0:00,15048
2013-08-07 0:00,37827
2013-08-08 0:00,593
2013-08-09 0:00,431
2013-08-10 0:00,153
2013-08-12 0:00,343
2013-08-13 0:00,430
2013-08-14 0:00,289
2013-08-16 0:00,7
2013-08-17 0:00,178
2013-08-18 0:00,62
2013-08-19 0:00,2408
2013-08-20 0:00,138
2013-08-21 0:00,337
2013-08-22 0:00,254
2013-08-23 0:00,183
2013-08-24 0:00,199
2013-08-25 0:00,259
2013-08-26 0:00,238
2013-08-27 0:00,244
2013-08-28 0:00,972
2013-08-29 0:00,239
2013-08-30 0:00,617
2013-08-31 0:00,303
2013-09-01 0:00,390
2013-09-02 0:00,869
2013-09-04 0:00,629
2013-09-05 0:00,30424
2013-09-06 0:00,307
2013-09-07 0:00,578
2013-09-08 0:00,2796
2013-09-09 0:00,1457
2013-09-11 0:00,233
2013-09-12 0:00,920
2013-09-13 0:00,26
2013-09-14 0:00,277
2013-09-15 0:00,291
2013-09-16 0:00,383
2013-09-17 0:00,224
2013-09-18 0:00,333
2013-09-19 0:00,521
2013-09-20 0:00,343
2013-09-21 0:00,399
2013-09-22 0:00,366
2013-09-23 0:00,234
2013-09-24 0:00,143
2013-09-25 0:00,243
2013-09-26 0:00,369
2013-09-27 0:00,235
2013-09-28 0:00,321
2013-09-29 0:00,109
2013-09-30 0:00,260
2013-10-01 0:00,454
2013-10-02 0:00,545
2013-10-03 0:00,722
2013-10-04 0:00,323
2013-10-05 0:00,302
2013-10-06 0:00,340
2013-10-07 0:00,1145
2013-10-09 0:00,1358
2013-10-10 0:00,1816
2013-10-11 0:00,1612
2013-10-12 0:00,499
2013-10-13 0:00,270
2013-10-14 0:00,277
2013-10-15 0:00,244
2013-10-16 0:00,54
2013-10-17 0:00,104
2013-10-18 0:00,95
2013-10-19 0:00,130
2013-10-20 0:00,230
2013-10-21 0:00,201
2013-10-22 0:00,183
2013-10-23 0:00,165
2013-10-24 0:00,156
2013-10-25 0:00,44
2013-10-26 0:00,33
2013-10-27 0:00,50
2013-10-28 0:00,81
2013-10-29 0:00,73
2013-10-30 0:00,106
2013-10-31 0:00,48
2013-11-01 0:00,60
2013-11-02 0:00,109
2013-11-03 0:00,67
2013-11-04 0:00,61
2013-11-05 0:00,73
2013-11-06 0:00,70
2013-11-07 0:00,63
2013-11-08 0:00,66
2013-11-09 0:00,66
2013-11-10 0:00,13
2013-11-11 0:00,4
2013-11-12 0:00,1
2013-11-13 0:00,5
2013-11-14 0:00,15
2013-11-15 0:00,76
2013-11-16 0:00,16
2013-11-17 0:00,18
2013-11-18 0:00,29
2013-11-19 0:00,0
2013-11-20 0:00,8
2013-11-21 0:00,5
2013-11-22 0:00,0
2013-11-23 0:00,25
2013-11-24 0:00,28
2013-11-25 0:00,5
2013-11-26 0:00,2
2013-11-27 0:00,2
2013-11-28 0:00,0
2013-11-29 0:00,3
2013-11-30 0:00,13
2013-12-01 0:00,6
2013-12-02 0:00,0
2013-12-03 0:00,2
2013-12-04 0:00,0
2013-12-05 0:00,0
2013-12-06 0:00,0
2013-12-07 0:00,0
2013-12-08 0:00,0
2013-12-11 0:00,0
2013-12-12 0:00,0
2013-12-13 0:00,0
2013-12-14 0:00,0
2013-12-15 0:00,0
